distretto,mese,giorno,ora,veicolo,genere,età,esito
2,1,7,0,Autobus,M,43,Ferit lleu
5,1,11,0,Autobus,M,38,Ferit lleu
8,9,27,0,Autobus,M,45,Ferit lleu
4,12,24,0,Autobus,M,34,Ferit lleu
10,2,9,1,Autobus,M,35,Ferit lleu
10,5,19,1,Autobus,M,49,Ferit lleu
3,5,21,1,Autobus,M,35,Ferit lleu
5,6,11,1,Autobus,M,31,Ferit lleu
2,7,29,1,Autobus,M,37,Ferit lleu
1,10,27,1,Autobus,M,54,Ferit lleu
2,3,22,0,Bicicleta,M,41,Ferit greu
5,4,28,0,Bicicleta,M,28,Ferit greu
3,5,22,0,Bicicleta,M,50,Ferit greu
2,7,7,0,Bicicleta,M,20,Ferit greu
2,8,4,0,Bicicleta,M,30,Ferit greu
1,8,25,0,Bicicleta,F,27,Ferit greu
2,10,5,0,Bicicleta,M,60,Ferit greu
4,11,29,0,Bicicleta,M,15,Ferit greu
4,1,2,0,Bicicleta,M,41,Ferit lleu
2,1,3,0,Bicicleta,F,20,Ferit lleu
10,1,7,0,Bicicleta,M,29,Ferit lleu
10,1,8,0,Bicicleta,M,37,Ferit lleu
9,1,8,0,Bicicleta,M,19,Ferit lleu
2,1,8,0,Bicicleta,M,40,Ferit lleu
5,1,9,0,Bicicleta,M,14,Ferit lleu
2,1,11,0,Bicicleta,M,29,Ferit lleu
3,1,14,0,Bicicleta,M,38,Ferit lleu
2,1,15,0,Bicicleta,M,13,Ferit lleu
2,1,21,0,Bicicleta,F,45,Ferit lleu
1,1,28,0,Bicicleta,M,37,Ferit lleu
1,2,6,0,Bicicleta,M,31,Ferit lleu
10,2,7,0,Bicicleta,M,64,Ferit lleu
2,2,16,0,Bicicleta,M,32,Ferit lleu
2,2,17,0,Bicicleta,F,27,Ferit lleu
5,2,19,0,Bicicleta,M,16,Ferit lleu
3,2,23,0,Bicicleta,M,19,Ferit lleu
10,2,26,0,Bicicleta,M,40,Ferit lleu
3,3,3,0,Bicicleta,M,38,Ferit lleu
2,3,3,0,Bicicleta,M,16,Ferit lleu
1,3,5,0,Bicicleta,M,17,Ferit lleu
4,3,11,0,Bicicleta,M,26,Ferit lleu
4,3,16,0,Bicicleta,F,19,Ferit lleu
2,3,17,0,Bicicleta,M,28,Ferit lleu
2,3,18,0,Bicicleta,F,39,Ferit lleu
1,3,27,0,Bicicleta,M,24,Ferit lleu
10,3,28,0,Bicicleta,M,12,Ferit lleu
10,3,28,0,Bicicleta,F,31,Ferit lleu
6,4,1,0,Bicicleta,M,17,Ferit lleu
2,4,5,0,Bicicleta,F,25,Ferit lleu
10,4,15,0,Bicicleta,M,21,Ferit lleu
10,4,15,0,Bicicleta,M,26,Ferit lleu
1,4,15,0,Bicicleta,F,36,Ferit lleu
2,4,21,0,Bicicleta,F,46,Ferit lleu
2,4,21,0,Bicicleta,F,23,Ferit lleu
8,4,22,0,Bicicleta,M,50,Ferit lleu
2,4,23,0,Bicicleta,M,30,Ferit lleu
2,4,28,0,Bicicleta,M,29,Ferit lleu
6,4,28,0,Bicicleta,M,29,Ferit lleu
2,4,28,0,Bicicleta,M,31,Ferit lleu
2,4,29,0,Bicicleta,M,26,Ferit lleu
3,4,30,0,Bicicleta,F,31,Ferit lleu
2,5,4,0,Bicicleta,M,43,Ferit lleu
10,5,5,0,Bicicleta,F,23,Ferit lleu
2,5,6,0,Bicicleta,F,17,Ferit lleu
2,5,1,0,Bicicleta,F,28,Ferit lleu
7,5,8,0,Bicicleta,M,45,Ferit lleu
2,5,10,0,Bicicleta,F,42,Ferit lleu
4,5,13,0,Bicicleta,F,21,Ferit lleu
2,5,15,0,Bicicleta,F,30,Ferit lleu
5,5,17,0,Bicicleta,M,39,Ferit lleu
10,5,18,0,Bicicleta,M,21,Ferit lleu
10,5,21,0,Bicicleta,F,18,Ferit lleu
10,5,24,0,Bicicleta,F,14,Ferit lleu
10,5,31,0,Bicicleta,M,14,Ferit lleu
1,5,31,0,Bicicleta,F,30,Ferit lleu
10,6,1,0,Bicicleta,M,55,Ferit lleu
3,6,3,0,Bicicleta,M,31,Ferit lleu
10,6,4,0,Bicicleta,F,13,Ferit lleu
2,6,5,0,Bicicleta,M,11,Ferit lleu
2,6,7,0,Bicicleta,M,24,Ferit lleu
3,6,7,0,Bicicleta,F,24,Ferit lleu
