id;year;hour;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;count
3;2012;23;3;0;0;2;23.78;27.275;73;11.0014;133
4;2011;8;3;0;0;1;27.88;31.82;57;0;132
5;2012;2;1;0;1;1;20.5;24.24;59;0;19
7;2011;20;3;0;1;3;25.42;28.79;83;19.9995;58
8;2011;17;3;0;1;3;26.24;28.79;89;0;285
9;2011;19;2;0;1;2;34.44;37.12;39;22.0028;326
10;2012;23;2;0;1;2;23.78;27.275;78;7.0015;75
11;2011;22;3;0;1;1;25.42;27.275;94;0;160
12;2011;14;3;0;1;1;35.26;41.665;53;19.0012;134
13;2011;13;1;0;0;2;18.86;22.725;72;19.9995;94
15;2012;15;2;0;0;1;27.06;31.06;50;15.0013;463
16;2012;19;2;0;1;1;19.68;23.485;31;16.9979;487
18;2012;22;3;0;1;1;29.52;34.09;70;7.0015;288
19;2011;0;3;0;1;1;28.7;31.82;45;7.0015;46
21;2011;6;3;0;1;2;26.24;29.545;78;16.9979;103
22;2012;7;3;0;1;2;28.7;33.335;74;7.0015;520
23;2011;12;3;0;1;2;31.16;36.365;70;19.0012;213
24;2012;4;4;0;0;2;13.12;15.15;49;19.9995;16
25;2012;17;1;0;1;1;17.22;21.21;32;22.0028;465
26;2011;1;2;0;0;1;12.3;15.91;61;7.0015;34
27;2012;5;3;0;1;1;27.06;30.305;83;11.0014;37
31;2012;6;1;0;1;1;13.94;17.425;57;7.0015;88
33;2011;15;4;0;1;2;22.14;25.76;60;8.9981;191
35;2012;13;3;0;0;1;33.62;38.635;52;35.0008;668
36;2011;23;4;0;0;1;14.76;18.18;81;6.0032;25
37;2012;13;3;0;1;1;36.9;38.635;25;8.9981;283
38;2011;17;4;0;0;1;10.66;12.88;48;15.0013;165
39;2012;10;2;0;1;3;19.68;23.485;47;15.0013;147
40;2012;9;2;0;1;1;25.42;30.305;65;11.0014;366
42;2012;1;4;0;1;2;12.3;15.91;65;6.0032;21
43;2011;23;3;0;1;1;26.24;31.06;61;11.0014;167
44;2012;10;2;0;1;1;16.4;20.455;50;19.9995;141
48;2011;0;2;0;1;1;18.86;22.725;72;8.9981;177
50;2012;4;2;0;1;2;22.14;25.76;77;15.0013;6
51;2011;8;1;0;0;1;5.74;7.575;86;8.9981;30
53;2011;17;3;0;1;1;30.34;33.335;51;15.0013;579
54;2012;23;3;0;1;1;19.68;23.485;67;6.0032;123
55;2011;2;4;0;1;1;19.68;23.485;77;7.0015;23
56;2012;6;2;0;1;1;20.5;24.24;77;19.9995;165
57;2012;22;2;0;0;1;19.68;23.485;20;12.998;182
58;2012;3;3;0;0;2;25.42;30.305;61;11.0014;55
60;2012;4;3;0;0;1;25.42;29.545;73;15.0013;13
63;2012;1;2;0;1;3;22.96;26.515;60;11.0014;14
64;2011;23;4;1;0;2;22.14;25.76;88;7.0015;75
65;2011;8;1;0;0;3;16.4;20.455;71;15.0013;8
67;2012;23;3;0;1;1;29.52;34.85;79;0;138
68;2011;6;1;0;0;2;17.22;21.21;94;23.9994;2
69;2011;1;4;0;1;2;18.86;22.725;100;16.9979;13
70;2011;7;2;0;0;2;17.22;21.21;77;6.0032;33
72;2011;4;2;0;0;2;21.32;25;100;0;13
73;2011;1;2;0;1;1;18.86;22.725;72;8.9981;114
74;2011;6;2;0;0;3;16.4;20.455;82;22.0028;10
75;2011;10;1;0;0;1;5.74;5.305;43;26.0027;49
76;2011;12;2;0;1;3;22.96;26.515;83;27.9993;153
79;2012;0;3;0;1;1;27.06;31.06;69;0;76
80;2012;12;2;0;1;1;22.14;25.76;22;19.0012;259
81;2011;2;3;0;1;1;27.06;29.545;89;0;7
82;2012;0;3;0;1;1;31.16;36.365;66;11.0014;53
83;2012;17;4;0;1;3;22.96;26.515;60;16.9979;856
85;2012;21;2;0;0;1;20.5;24.24;20;12.998;234
86;2012;3;4;0;1;3;14.76;16.665;87;23.9994;5
88;2011;7;2;0;1;3;14.76;17.425;100;15.0013;70
90;2012;16;4;0;1;1;18.86;22.725;41;23.9994;520
92;2012;7;3;0;0;1;26.24;29.545;78;19.0012;48
93;2011;11;3;0;1;2;29.52;34.09;66;6.0032;165
94;2011;14;1;0;1;1;10.66;12.88;52;15.0013;63
95;2012;10;1;0;1;2;10.66;12.88;70;15.0013;108
96;2012;9;3;0;1;2;29.52;34.09;62;12.998;367
98;2011;12;2;0;0;2;17.22;21.21;88;8.9981;230
99;2011;8;4;0;1;2;20.5;24.24;51;16.9979;414
101;2012;10;1;0;1;2;7.38;9.85;93;11.0014;83
104;2012;14;3;0;1;1;33.62;39.395;56;7.0015;211
106;2012;4;1;0;1;1;9.02;11.365;69;8.9981;3
107;2012;8;4;0;0;2;9.84;12.12;87;8.9981;144
108;2011;5;1;0;1;1;10.66;11.365;81;22.0028;2
110;2011;14;4;0;1;1;20.5;24.24;45;11.0014;172
113;2012;3;3;0;1;1;28.7;33.335;84;0;7
114;2011;1;4;0;1;2;18.86;22.725;88;0;11
115;2011;12;1;0;1;2;8.2;12.88;86;0;55
116;2011;6;4;0;0;1;16.4;20.455;71;0;20
117;2012;0;4;0;1;2;12.3;14.395;56;19.0012;283
118;2011;21;4;0;1;1;14.76;16.665;57;16.9979;136
119;2011;23;3;0;1;1;27.88;31.82;69;15.0013;139
120;2011;22;2;0;1;1;26.24;31.06;33;16.9979;155
122;2011;18;3;0;0;1;32.8;36.365;46;19.9995;390
123;2012;17;2;0;1;1;25.42;31.06;43;8.9981;724
124;2012;20;4;1;0;3;16.4;20.455;71;15.0013;227
125;2012;0;4;0;1;1;10.66;12.12;48;19.0012;44
127;2011;1;4;0;1;1;19.68;23.485;77;11.0014;11
128;2011;2;4;1;0;1;13.12;14.395;57;19.0012;11
129;2011;11;3;1;0;2;31.16;34.85;55;6.0032;349
130;2011;4;3;0;1;1;24.6;29.545;73;11.0014;10
131;2012;4;4;0;1;1;17.22;21.21;67;11.0014;7
132;2012;8;4;0;0;1;12.3;15.15;56;8.9981;149
133;2012;1;3;0;0;1;27.06;31.06;74;15.0013;116
134;2011;2;3;0;1;1;25.42;30.305;69;0;13
135;2011;21;4;0;0;1;21.32;25;77;0;187
139;2011;23;3;0;1;1;30.34;32.575;37;6.0032;108
140;2011;17;1;0;1;1;13.94;17.425;34;6.0032;242
142;2012;0;3;0;1;1;28.7;32.575;65;6.0032;85
143;2012;18;2;0;1;1;22.96;26.515;35;35.0008;770
144;2012;4;3;0;1;1;27.88;31.82;65;7.0015;6
145;2012;21;1;0;0;1;5.74;3.79;43;43.0006;48
147;2012;14;4;0;1;1;18.86;22.725;38;12.998;274
148;2011;6;1;0;1;2;4.92;6.06;54;19.0012;26
149;2011;15;2;0;1;1;28.7;31.82;37;30.0026;185
150;2011;9;2;0;1;1;14.76;16.665;46;16.9979;165
152;2011;17;3;1;0;1;32.8;36.365;46;0;436
153;2011;12;1;0;1;1;15.58;19.695;32;22.0028;86
154;2012;4;1;0;1;2;16.4;20.455;87;16.9979;3
155;2011;19;2;0;0;2;17.22;21.21;44;12.998;144
156;2011;20;4;0;1;2;19.68;23.485;82;8.9981;238
158;2012;16;4;0;0;1;24.6;31.06;43;35.0008;659
159;2012;5;4;0;1;2;15.58;19.695;82;12.998;19
160;2011;13;4;0;1;1;22.14;25.76;49;11.0014;196
161;2012;8;3;1;0;1;28.7;32.575;61;7.0015;153
162;2011;0;1;0;1;1;12.3;13.635;70;31.0009;7
163;2011;20;1;0;1;2;13.12;16.665;70;7.0015;88
164;2012;17;3;0;1;1;32.8;34.85;31;15.0013;830
166;2012;9;1;0;0;1;5.74;8.335;50;7.0015;81
170;2011;11;4;0;0;1;13.12;16.665;57;6.0032;275
171;2012;18;3;0;0;2;26.24;31.06;36;19.0012;614
172;2011;6;1;0;1;3;5.74;10.605;93;0;22
173;2011;0;1;0;1;1;12.3;13.635;49;27.9993;19
175;2012;0;3;0;1;1;29.52;35.605;84;7.0015;53
176;2012;18;2;0;1;1;28.7;31.82;34;19.0012;813
177;2011;19;4;0;0;1;12.3;15.91;61;6.0032;175
178;2012;13;4;0;1;1;18.04;21.97;18;27.9993;228
179;2011;22;1;0;0;1;10.66;13.635;93;8.9981;45
180;2011;1;1;0;1;2;6.56;9.09;86;7.0015;6
181;2011;13;4;0;1;1;16.4;20.455;47;8.9981;207
182;2011;16;2;0;0;1;22.14;25.76;30;23.9994;343
183;2012;2;2;0;1;2;17.22;21.21;77;0;6
184;2012;13;4;0;1;1;13.94;16.665;46;8.9981;278
185;2011;0;3;0;1;1;25.42;29.545;78;6.0032;33
186;2012;3;4;0;0;2;12.3;15.15;81;11.0014;46
187;2011;19;4;0;0;3;9.84;10.605;65;22.0028;106
188;2011;11;1;0;1;1;8.2;11.365;29;6.0032;50
189;2012;17;2;1;0;1;32.8;34.85;33;26.0027;712
190;2012;2;3;0;1;1;28.7;33.335;74;8.9981;16
193;2011;1;4;0;1;1;13.94;18.18;87;0;10
195;2011;15;4;0;1;1;19.68;23.485;51;11.0014;187
198;2011;16;3;0;1;2;24.6;30.305;60;11.0014;263
199;2012;15;3;0;1;1;34.44;38.635;47;6.0032;292
200;2012;21;3;0;0;2;24.6;28.03;83;11.0014;181
201;2011;14;1;0;0;2;16.4;20.455;30;27.9993;161
202;2011;8;2;0;0;2;18.04;21.97;77;8.9981;59
203;2012;19;1;0;0;1;6.56;8.335;37;11.0014;110
204;2011;6;1;0;1;1;4.92;7.575;54;8.9981;28
205;2012;8;1;0;1;3;16.4;20.455;87;0;445
206;2012;17;2;0;1;1;26.24;30.305;23;16.9979;779
207;2012;14;2;0;1;1;19.68;23.485;29;26.0027;490
208;2011;15;1;0;1;1;11.48;13.635;52;16.9979;65
209;2011;8;3;0;1;1;26.24;31.06;50;23.9994;486
210;2011;21;3;1;0;2;27.06;29.545;94;19.9995;60
